"Ref","Name","Location","Type"
"K-0348","Huron","US-MI","National Wildlife Refuge"
"K-0349","Kirtlands Warbler","US-MI","Wildlife Management Area"
"K-0350","Michigan","US-MI","Waterfowl Production Area"
"K-0351","Michigan Islands","US-MI","National Wildlife Refuge"
"K-0352","Seney","US-MI","National Wildlife Refuge"
"K-0353","Shiawassee","US-MI","National Wildlife Refuge"
"K-0354","Agassiz","US-MN","National Wildlife Refuge"
"K-0355","Big Stone","US-MN","National Wildlife Refuge"
"K-0356","Big Stone Wetland Management District","US-MN","Waterfowl Production Area"
"K-0357","Crane Meadows","US-MN","National Wildlife Refuge"
"K-0358","Detroit Lakes Wetland Management District","US-MN","Waterfowl Production Area"
"K-0359","Fergus Falls Wetland Management District","US-MN","Waterfowl Production Area"
"K-0360","Glacial Ridge","US-MN","National Wildlife Refuge"
"K-0361","Hamden Slough","US-MN","National Wildlife Refuge"
"K-0362","Litchfield Wetland Management District","US-MN","Waterfowl Production Area"
"K-0363","Mille Lacs","US-MN","National Wildlife Refuge"
"K-0364","Minnesota Valley","US-MN","National Wildlife Refuge"
"K-0365","Minnesota Valley Wetland Management District","US-MN","Waterfowl Production Area"
"K-0366","Morris Wetland Management District","US-MN","Waterfowl Production Area"
"K-0367","Northern Tallgrass Prairie","US-MN","National Wildlife Refuge"
"K-0368","Rice Lake","US-MN","National Wildlife Refuge"
"K-0369","Rydell","US-MN","National Wildlife Refuge"
"K-0370","Sherburne","US-MN","National Wildlife Refuge"
"K-0371","Tamarac","US-MN","National Wildlife Refuge"
"K-0372","Upper Mississippi","US-MN","National Wildlife Refuge"
"K-0373","Windom","US-MN","Wetland Management District"
"K-0374","Big Muddy","US-MO","National Fish and Wildlife Refuge"
"K-0375","Clarence Cannon","US-MO","National Wildlife Refuge"
"K-0376","Great River","US-MO","National Wildlife Refuge"
"K-0377","Mingo","US-MO","National Wildlife Refuge"
"K-0380","Squaw Creek","US-MO","National Wildlife Refuge"
"K-0381","Swan Lake","US-MO","National Wildlife Refuge"
"K-0382","Coldwater River","US-MS","National Wildlife Refuge"
"K-0383","Dahomey","US-MS","National Wildlife Refuge"
"K-0384","Grand Bay","US-MS","National Wildlife Refuge"
"K-0385","Hillside","US-MS","National Wildlife Refuge"
"K-0386","Holt Collier","US-MS","National Wildlife Refuge"
"K-0387","Mathews Brake","US-MS","National Wildlife Refuge"
"K-0388","Mississippi Sandhill Crane","US-MS","National Wildlife Refuge"
"K-0389","Morgan Brake","US-MS","National Wildlife Refuge"
"K-0390","Noxubee","US-MS","National Wildlife Refuge"
"K-0391","Panther Swamp","US-MS","National Wildlife Refuge"
"K-0392","St. Catherine Creek","US-MS","National Wildlife Refuge"
"K-0393","Tallahatchie","US-MS","National Wildlife Refuge"
"K-0395","Yazoo","US-MS","National Wildlife Refuge"
"K-0396","Benton Lake","US-MT","National Wildlife Refuge"
"K-0397","Benton Lake","US-MT","Wetland Management District"
"K-0398","Bowdoin","US-MT","National Wildlife Refuge"
"K-0399","Charles M. Russell","US-MT","National Wildlife Refuge"
"K-0400","Halfbreed Lake","US-MT","National Wildlife Refuge"
"K-0401","Lake Mason","US-MT","National Wildlife Refuge"
"K-0402","Lee Metcalf","US-MT","National Wildlife Refuge"
"K-0403","Lost Trail","US-MT","National Wildlife Refuge"
"K-0404","Medicine Lake","US-MT","National Wildlife Refuge"
"K-0405","National Bison Range","US-MT","National Wildlife Refuge"
"K-0406","Northwest Montana","US-MT","Wetland Management District"
"K-0407","Red Rock Lakes","US-MT","National Wildlife Refuge"
"K-0408","UL Bend","US-MT","National Wildlife Refuge"
"K-0409","War Horse","US-MT","National Wildlife Refuge"
"K-0410","Alligator River","US-NC","National Wildlife Refuge"
"K-0411","Cedar Island","US-NC","National Wildlife Refuge"
"K-0412","Currituck","US-NC","National Wildlife Refuge"
"K-0413","Mackay Island","US-NC","National Wildlife Refuge"
"K-0414","Mattamuskeet","US-NC","National Wildlife Refuge"
"K-0415","Pea Island","US-NC","National Wildlife Refuge"
"K-0416","Pee Dee","US-NC","National Wildlife Refuge"
"K-0417","Pocosin Lakes","US-NC","National Wildlife Refuge"
"K-0418","Roanoke River","US-NC","National Wildlife Refuge"
"K-0419","Swanquarter","US-NC","National Wildlife Refuge"
"K-0420","Arrowwood","US-ND","National Wildlife Refuge"
"K-0421","Arrowwood","US-ND","Wetland Management District"
"K-0422","Audubon","US-ND","National Wildlife Refuge"
"K-0423","Chase Lake","US-ND","National Wildlife Refuge"
"K-0424","Des Lacs","US-ND","National Wildlife Refuge"
"K-0425","Devils Lake","US-ND","Wetland Management District"
"K-0426","Florence Lake","US-ND","National Wildlife Refuge"
"K-0427","J. Clark Salyer","US-ND","National Wildlife Refuge"
"K-0428","J. Clark Salyer","US-ND","Wetland Management District"
"K-0429","Kellys Slough","US-ND","National Wildlife Refuge"
"K-0430","Kulm","US-ND","Wetland Management District"
"K-0431","Lake Alice","US-ND","National Wildlife Refuge"
"K-0432","Lake Ilo","US-ND","National Wildlife Refuge"
"K-0433","Lake Zahl","US-ND","National Wildlife Refuge"
"K-0434","Long Lake","US-ND","National Wildlife Refuge"
"K-0435","Lostwood","US-ND","National Wildlife Refuge"
"K-0436","Slade","US-ND","National Wildlife Refuge"
"K-0437","Sullys Hill","US-ND","National Game Preserve"
"K-0438","Tewaukon","US-ND","National Wildlife Refuge"
"K-0439","Upper Souris","US-ND","National Wildlife Refuge"
"K-0440","Valley City","US-ND","Wetland Management District"
"K-0441","Boyer Chute","US-NE","National Wildlife Refuge"
"K-0442","Crescent Lake","US-NE","National Wildlife Refuge"
"K-0443","Fort Niobrara","US-NE","National Wildlife Refuge"
"K-0444","John W. and Louise Seier","US-NE","National Wildlife Refuge"
"K-0445","North Platte","US-NE","National Wildlife Refuge"
"K-0446","Rainwater Basin","US-NE","Wetland Management District"
"K-0447","Valentine","US-NE","National Wildlife Refuge"
"K-0448","Great Bay","US-NH","National Wildlife Refuge"
"K-0449","John Hay","US-NH","National Wildlife Refuge"
"K-0450","Lake Umbagog","US-NH","National Wildlife Refuge"
"K-0451","Wapack","US-NH","National Wildlife Refuge"
"K-0452","Cape May","US-NJ","National Wildlife Refuge"
"K-0453","Edwin B. Forsythe","US-NJ","National Wildlife Refuge"
"K-0454","Great Swamp","US-NJ","National Wildlife Refuge"
"K-0455","Supawna Meadows","US-NJ","National Wildlife Refuge"
"K-0456","Wallkill River","US-NJ","National Wildlife Refuge"
"K-0457","Bitter Lake","US-NM","National Wildlife Refuge"
"K-0458","Bosque Del Apache","US-NM","National Wildlife Refuge"
"K-0459","Las Vegas","US-NM","National Wildlife Refuge"
"K-0460","Maxwell","US-NM","National Wildlife Refuge"
"K-0461","San Andres","US-NM","National Wildlife Refuge"
"K-0462","Sevilleta","US-NM","National Wildlife Refuge"
"K-0463","Anaho Island","US-NV","National Wildlife Refuge"
"K-0464","Ash Meadows","US-NV","National Wildlife Refuge"
"K-0465","Desert","US-NV","National Wildlife Refuge"
"K-0466","Fallon","US-NV","National Wildlife Refuge"
"K-0467","Moapa Valley","US-NV","National Wildlife Refuge"
"K-0468","Pahranagat","US-NV","National Wildlife Refuge"
"K-0469","Ruby Lake","US-NV","National Wildlife Refuge"
"K-0470","Sheldon","US-NV","National Wildlife Refuge"
"K-0471","Stillwater","US-NV","National Wildlife Refuge"
"K-0472","Amagansett","US-NY","National Wildlife Refuge"
"K-0473","Conscience Point","US-NY","National Wildlife Refuge"
"K-0474","Elizabeth A. Morton","US-NY","National Wildlife Refuge"
